tid,ttid,did,name,task_type,status,estimation_procedure,evaluation_measures,source_data,target_feature,MajorityClassSize,MaxNominalAttDistinctValues,MinorityClassSize,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures,number_samples,cost_matrix,source_data_labeled,target_feature_event,target_feature_left,target_feature_right,quality_measure,target_value
363681,TaskType.SUPERVISED_CLASSIFICATION,46937,in_vehicle_coupon_recommendation,Supervised Classification,active,10 times 3-fold Crossvalidation,,46937,AcceptCoupon,7210.0,,5474.0,2.0,25.0,12684.0,0.0,0.0,2.0,22.0,,,,,,,,
363682,TaskType.SUPERVISED_CLASSIFICATION,46938,Is-this-a-good-customer,Supervised Classification,active,10 times 3-fold Crossvalidation,,46938,bad_client_target,1527.0,,196.0,2.0,14.0,1723.0,0.0,0.0,5.0,9.0,,,,,,,,
363683,TaskType.SUPERVISED_CLASSIFICATION,46939,kddcup09_appetency,Supervised Classification,active,10 times 3-fold Crossvalidation,,46939,appetency,49110.0,,890.0,2.0,213.0,50000.0,50000.0,6727959.0,174.0,39.0,,,,,,,,
363684,TaskType.SUPERVISED_CLASSIFICATION,46940,Marketing_Campaign,Supervised Classification,active,10 times 3-fold Crossvalidation,,46940,Response,1906.0,,334.0,2.0,26.0,2240.0,24.0,24.0,16.0,9.0,,,,,,,,
363685,TaskType.SUPERVISED_CLASSIFICATION,46941,maternal_health_risk,Supervised Classification,active,10 times 3-fold Crossvalidation,,46941,RiskLevel,406.0,,272.0,3.0,7.0,1014.0,0.0,0.0,6.0,1.0,,,,,,,,
363686,TaskType.SUPERVISED_REGRESSION,46942,miami_housing,Supervised Regression,active,10 times 3-fold Crossvalidation,,46942,SALE_PRC,,,,0.0,16.0,13776.0,0.0,0.0,15.0,1.0,,,,,,,,
363689,TaskType.SUPERVISED_CLASSIFICATION,46969,NATICUSdroid,Supervised Classification,active,10 times 3-fold Crossvalidation,,46969,Malware,4867.0,,2624.0,2.0,87.0,7491.0,0.0,0.0,0.0,87.0,,,,,,,,
363691,TaskType.SUPERVISED_CLASSIFICATION,46947,online_shoppers_intention,Supervised Classification,active,10 times 3-fold Crossvalidation,,46947,Revenue,10422.0,,1908.0,2.0,18.0,12330.0,0.0,0.0,10.0,8.0,,,,,,,,
363693,TaskType.SUPERVISED_REGRESSION,46949,physiochemical_protein,Supervised Regression,active,10 times 3-fold Crossvalidation,,46949,ResidualSize,,,,0.0,10.0,45730.0,0.0,0.0,10.0,0.0,,,,,,,,
363694,TaskType.SUPERVISED_CLASSIFICATION,46950,polish_companies_bankruptcy,Supervised Classification,active,10 times 3-fold Crossvalidation,,46950,company_bankrupt,5500.0,,410.0,2.0,65.0,5910.0,2879.0,4666.0,64.0,1.0,,,,,,,,
363696,TaskType.SUPERVISED_CLASSIFICATION,46952,qsar-biodeg,Supervised Classification,active,10 times 3-fold Crossvalidation,,46952,Biodegradable,699.0,,355.0,2.0,42.0,1054.0,0.0,0.0,36.0,6.0,,,,,,,,
363697,TaskType.SUPERVISED_REGRESSION,46953,QSAR-TID-11,Supervised Regression,active,10 times 3-fold Crossvalidation,,46953,MEDIAN_PXC50,,,,0.0,1025.0,5742.0,0.0,0.0,1025.0,0.0,,,,,,,,
363698,TaskType.SUPERVISED_REGRESSION,46954,QSAR_fish_toxicity,Supervised Regression,active,10 times 3-fold Crossvalidation,,46954,LC50,,,,0.0,7.0,907.0,0.0,0.0,7.0,0.0,,,,,,,,
363699,TaskType.SUPERVISED_CLASSIFICATION,46955,SDSS17,Supervised Classification,active,10 times 3-fold Crossvalidation,,46955,ObjectType,47613.0,,13994.0,3.0,12.0,78053.0,0.0,0.0,9.0,3.0,,,,,,,,
363700,TaskType.SUPERVISED_CLASSIFICATION,46956,seismic-bumps,Supervised Classification,active,10 times 3-fold Crossvalidation,,46956,HighEnergySeismicBump,2414.0,,170.0,2.0,16.0,2584.0,0.0,0.0,11.0,4.0,,,,,,,,
363702,TaskType.SUPERVISED_CLASSIFICATION,46958,splice,Supervised Classification,active,10 times 3-fold Crossvalidation,,46958,SiteType,1655.0,,767.0,3.0,61.0,3190.0,0.0,0.0,0.0,61.0,,,,,,,,
363704,TaskType.SUPERVISED_CLASSIFICATION,46960,students_dropout_and_academic_success,Supervised Classification,active,10 times 3-fold Crossvalidation,,46960,AcademicOutcome,2209.0,,794.0,3.0,37.0,4424.0,0.0,0.0,19.0,18.0,,,,,,,,
363705,TaskType.SUPERVISED_REGRESSION,46961,superconductivity,Supervised Regression,active,10 times 3-fold Crossvalidation,,46961,critical_temp,,,,0.0,82.0,21263.0,0.0,0.0,82.0,0.0,,,,,,,,
363706,TaskType.SUPERVISED_CLASSIFICATION,46962,taiwanese_bankruptcy_prediction,Supervised Classification,active,10 times 3-fold Crossvalidation,,46962,Bankrupt,6599.0,,220.0,2.0,95.0,6819.0,0.0,0.0,94.0,1.0,,,,,,,,
363707,TaskType.SUPERVISED_CLASSIFICATION,46963,website_phishing,Supervised Classification,active,10 times 3-fold Crossvalidation,,46963,WebsiteType,702.0,,103.0,3.0,10.0,1353.0,0.0,0.0,0.0,10.0,,,,,,,,
363708,TaskType.SUPERVISED_REGRESSION,46964,wine_quality,Supervised Regression,active,10 times 3-fold Crossvalidation,,46964,median_wine_quality,,,,0.0,13.0,6497.0,0.0,0.0,12.0,1.0,,,,,,,,
363711,TaskType.SUPERVISED_CLASSIFICATION,46980,MIC,Supervised Classification,active,10 times 3-fold Crossvalidation,,46980,LET_IS,1428.0,,12.0,8.0,112.0,1699.0,1699.0,6513.0,17.0,95.0,,,,,,,,
363712,TaskType.SUPERVISED_CLASSIFICATION,46979,jm1,Supervised Classification,active,10 times 3-fold Crossvalidation,,46979,defects,8779.0,,2106.0,2.0,22.0,10885.0,5.0,25.0,21.0,1.0,,,,,,,,
